time NV31 NV44 XDUT_LP1_I XDUT_B1_I XDUT_L2_I XDUT_L3_I XDUT_B2_I XDUT_LP2_I
4.500000000000000e-012 9.580915029109056e-005 9.392174326516344e-005 2.853738653727388e-004 2.175745877246651e-004 -3.147688690092472e-004 3.154831309907528e-004 2.168916184042189e-004 2.844627185142385e-004 
4.750000000000000e-012 1.007796469853906e-004 9.872795626365322e-005 3.000758087852907e-004 2.289082562109252e-004 -3.322250390144404e-004 3.330409609855596e-004 2.282831069588241e-004 2.991217882967886e-004 
5.000000000000000e-012 1.070151613180595e-004 1.050092710833993e-004 3.143650556306329e-004 2.388644653470006e-004 -3.496738284576532e-004 3.506061715423468e-004 2.383177217677271e-004 3.133902785595048e-004 
5.250000000000000e-012 8.467718025786007e-005 8.286512976777915e-005 3.113534920882622e-004 2.316045814620077e-004 -3.496131154618786e-004 3.506668845381214e-004 2.311386405774548e-004 3.103829457049362e-004 
5.500000000000000e-012 9.139355408925680e-005 8.978340523834922e-005 3.085670883270754e-004 2.283094868283960e-004 -3.495527459062445e-004 3.507272540937555e-004 2.279345951840177e-004 3.076241327074741e-004 
5.750000000000000e-012 5.035678921928627e-005 4.908323192700579e-005 3.062960500403662e-004 2.302951880639573e-004 -3.494944494193799e-004 3.507855505806201e-004 2.300175160168969e-004 3.054060487342739e-004 
6.000000000000000e-012 5.231186621839339e-005 5.147406557637615e-005 3.044891806960535e-004 2.364948715160834e-004 -3.494403392745133e-004 3.508396607254867e-004 2.363249299939018e-004 3.036836600985341e-004 
6.249999999999999e-012 1.773340106288579e-005 1.762703556006457e-005 3.028587544666053e-004 2.442969079558600e-004 -3.493940998393513e-004 3.508859001606487e-004 2.442489396753580e-004 3.021791812256815e-004 
6.499999999999999e-012 3.211241384001503e-005 3.291877491677554e-005 3.010709608974540e-004 2.510049750416563e-004 -3.493610794208177e-004 3.509189205791823e-004 2.510919145220588e-004 3.005672190540358e-004 
6.749999999999999e-012 1.063389406803227e-005 1.253495329717142e-005 2.989154080333618e-004 2.548930137435392e-004 -3.493471252606807e-004 3.509328747393193e-004 2.551178071030673e-004 2.986366965996106e-004 
6.999999999999999e-012 3.507162522048278e-005 3.791762842373137e-005 2.963823221781249e-004 2.555786129680508e-004 -3.493566580557673e-004 3.509233419442327e-004 2.559250041387359e-004 2.963621709660516e-004 
7.249999999999999e-012 1.899913126653794e-005 2.251719129094377e-005 2.936324029448919e-004 2.537740462060008e-004 -3.493907724148646e-004 3.508892275851353e-004 2.542015473269076e-004 2.938735482481575e-004 
7.500000000000000e-012 4.443787173231860e-005 4.807072336599238e-005 2.908950776884964e-004 2.506975823641267e-004 -3.494461136213673e-004 3.508338863786327e-004 2.511454726640741e-004 2.913617901443816e-004 
7.750000000000001e-012 2.637410992703524e-005 2.965527600691501e-005 2.883556862069582e-004 2.474750461936411e-004 -3.495149770541943e-004 3.507650229458056e-004 2.478774763160334e-004 2.889790710386320e-004 
8.000000000000002e-012 4.860691940849830e-005 5.107940214557403e-005 2.860838326863829e-004 2.447625949270923e-004 -3.495866755658123e-004 3.506933244341877e-004 2.450713316965090e-004 2.867800265226448e-004 
8.250000000000002e-012 2.763075490617761e-005 2.918126951773012e-005 2.840243193438553e-004 2.426618572538857e-004 -3.496498656109930e-004 3.506301343890070e-004 2.428676887987000e-004 2.847191903336836e-004 
8.500000000000003e-012 4.814889549473438e-005 4.879314260411199e-005 2.820391005128025e-004 2.408628887612030e-004 -3.496952529976538e-004 3.505847470023462e-004 2.410051489613410e-004 2.826895945635458e-004 
8.750000000000004e-012 2.691690060836996e-005 2.697402014990074e-005 2.799698739304017e-004 2.388845531700074e-004 -3.497179229631371e-004 3.505620770368629e-004 2.390425029898689e-004 2.805735235348937e-004 
9.000000000000005e-012 4.842126444608892e-005 4.817688016688729e-005 2.776906288590696e-004 2.362881895311672e-004 -3.497185366750497e-004 3.505614633249503e-004 2.365562222733515e-004 2.782801195698067e-004 
9.250000000000005e-012 2.897309827485441e-005 2.880410247459357e-005 2.751319758035224e-004 2.327920963582259e-004 -3.497029144193908e-004 3.505770855806092e-004 2.332484352850053e-004 2.757581192819289e-004 
9.500000000000006e-012 5.261887697917899e-005 5.268089872325728e-005 2.722750853389700e-004 2.282759264729404e-004 -3.496800677942642e-004 3.505999322057357e-004 2.289575243811228e-004 2.729859294393711e-004 
9.750000000000007e-012 3.538666357496313e-005 3.581465858833457e-005 2.691250584079670e-004 2.227082369860518e-004 -3.496593359060193e-004 3.506206640939807e-004 2.236016136324560e-004 2.699494561086884e-004 
1.000000000000001e-011 6.125565670241643e-005 6.194456324487113e-005 2.656780781172794e-004 2.160460727184076e-004 -3.496476261521303e-004 3.506323738478697e-004 2.170967039876572e-004 2.666191211807959e-004 
1.025000000000001e-011 4.638898385057078e-005 4.727208631671237e-005 2.618941926317134e-004 2.081462626132031e-004 -3.496476785395061e-004 3.506323214604938e-004 2.092815357911672e-004 2.629332767087638e-004 
1.050000000000001e-011 7.505565304761344e-005 7.592634190412161e-005 2.576809997056507e-004 1.987058648182405e-004 -3.496578163455613e-004 3.506221836544386e-004 1.998619406787338e-004 2.587891445161459e-004 
1.075000000000001e-011 6.381930530545203e-005 6.460952955403679e-005 2.528864766538408e-004 1.872264527416616e-004 -3.496730515370906e-004 3.506069484629093e-004 1.883692256413187e-004 2.540374877672872e-004 
1.100000000000001e-011 9.744676226604461e-005 9.801864482140737e-005 2.472944521569140e-004 1.729820883416740e-004 -3.496869525597503e-004 3.505930474402497e-004 1.741161673151013e-004 2.484749908549685e-004 
