time NV31 NV44 XDUT_LP1_I XDUT_B1_I XDUT_L2_I XDUT_L3_I XDUT_B2_I XDUT_LP2_I
2.500000000000000e-012 6.902823856405096e-005 6.719462422251823e-005 1.444783881546029e-004 1.180827662002962e-004 -1.573227474728337e-004 1.578032525271663e-004 1.175978324223362e-004 1.437247735256520e-004 
2.750000000000000e-012 7.102067366622898e-005 6.999134555596474e-005 1.584355672812619e-004 1.319320171531368e-004 -1.730353248419896e-004 1.736032751580104e-004 1.314377812641157e-004 1.576779092724498e-004 
3.000000000000000e-012 7.523861081715001e-005 7.494789625587500e-005 1.721675690009714e-004 1.445953116968320e-004 -1.887629526328582e-004 1.893882473671418e-004 1.440885967843151e-004 1.714420971617137e-004 
3.250000000000000e-012 8.008029424860756e-005 8.022990350127131e-005 1.858051331696583e-004 1.566849881852594e-004 -2.045070303289168e-004 2.051567696710832e-004 1.561462034380881e-004 1.851197314643781e-004 
3.500000000000000e-012 8.439317983495424e-005 8.456500927763342e-005 1.994584036551444e-004 1.687600985110553e-004 -2.202634009440058e-004 2.209129990559942e-004 1.681650202324723e-004 1.987928094079672e-004 
3.750000000000000e-012 8.775448085134668e-005 8.756450275929122e-005 2.131611992416770e-004 1.810790695993412e-004 -2.360235787077044e-004 2.366654212922956e-004 1.804138279731700e-004 2.124789596491194e-004 
4.000000000000000e-012 9.038478756773437e-005 8.960979892977566e-005 2.268646837747787e-004 1.935741236321762e-004 -2.517776696444479e-004 2.524239303555521e-004 1.928458522941532e-004 2.261309700146210e-004 
4.250000000000000e-012 9.286539892299578e-005 9.149216527938980e-005 2.404704933831035e-004 2.059768594167202e-004 -2.675177221326755e-004 2.681964778673245e-004 2.052147840502882e-004 2.396675057774376e-004 
4.500000000000000e-012 9.584376476633645e-005 9.403015211022434e-005 2.538757234160054e-004 2.179785064136600e-004 -2.832400852361915e-004 2.839867147638085e-004 2.172252621917099e-004 2.530093055025434e-004 
4.750000000000000e-012 9.984760584506362e-005 9.782414439073102e-005 2.670035604205453e-004 2.293343337521640e-004 -2.989458587446515e-004 2.997935412553485e-004 2.286322974071849e-004 2.660994313413403e-004 
5.000000000000000e-012 1.052424109277536e-004 1.032022006473153e-004 2.798074174612365e-004 2.398803487432951e-004 -3.146393912303702e-004 3.156126087696298e-004 2.392600484381647e-004 2.789003789557334e-004 
5.250000000000000e-012 8.458914315577006e-005 8.267885044788620e-005 2.769306447182466e-004 2.348259955333315e-004 -3.145695208684369e-004 3.156824791315631e-004 2.342997435865249e-004 2.760561812237069e-004 
5.500000000000000e-012 9.162838130779435e-005 8.986797049687507e-005 2.740730151109004e-004 2.324869174888087e-004 -3.144964961266005e-004 3.157555038733995e-004 2.320715768771316e-004 2.732612316137810e-004 
5.750000000000000e-012 5.406207280369523e-005 5.260459566335576e-005 2.714720320782720e-004 2.334204731977479e-004 -3.144233498561038e-004 3.158286501438962e-004 2.331266549178230e-004 2.707517156661858e-004 
6.000000000000000e-012 5.567889341731339e-005 5.464210128290077e-005 2.691924645601563e-004 2.367273165289601e-004 -3.143532443535012e-004 3.158987556464988e-004 2.365697394092830e-004 2.685966783288085e-004 
6.249999999999999e-012 2.151626445051774e-005 2.121219734213124e-005 2.671841267838885e-004 2.409029911217929e-004 -3.142906977316237e-004 3.159613022683763e-004 2.409013757425609e-004 2.667547233373754e-004 
6.499999999999999e-012 3.122854152125620e-005 3.185532268170007e-005 2.653672159848342e-004 2.446765983563926e-004 -3.142421560258209e-004 3.160098439741791e-004 2.448490737263690e-004 2.651521489897861e-004 
6.749999999999999e-012 6.179241987495857e-006 7.941457598918234e-006 2.636923429912537e-004 2.473667590133384e-004 -3.142153923296945e-004 3.160366076703055e-004 2.477164921658276e-004 2.637336430789526e-004 
6.999999999999999e-012 2.366729016480686e-005 2.644665328443886e-005 2.621569770153824e-004 2.488599132435804e-004 -3.142177609930095e-004 3.160342390069905e-004 2.493605806893132e-004 2.624726511205123e-004 
7.249999999999999e-012 4.024526018197762e-006 7.584225301376528e-006 2.607871517521038e-004 2.493969456545651e-004 -3.142537951247613e-004 3.159982048752387e-004 2.499854165727746e-004 2.613548807304021e-004 
7.500000000000000e-012 2.448741406427617e-005 2.829917144900555e-005 2.596058161244118e-004 2.493337586725388e-004 -3.143229935798436e-004 3.159290064201564e-004 2.499169830912522e-004 2.603574673241253e-004 
7.750000000000001e-012 5.878390987456841e-006 9.484255988446345e-006 2.586080967714414e-004 2.489726402358595e-004 -3.144187291926816e-004 3.158332708073184e-004 2.494498680085777e-004 2.594404069189105e-004 
8.000000000000002e-012 2.613149209072495e-005 2.905608171024491e-005 2.577543667732557e-004 2.484917377246603e-004 -3.145289226863475e-004 3.157230773136525e-004 2.487853430360532e-004 2.585540563598428e-004 
8.250000000000002e-012 6.735677864947404e-006 8.824834388256281e-006 2.569808650099665e-004 2.479530428110836e-004 -3.146385248293332e-004 3.156134751706668e-004 2.480356897031086e-004 2.576555051585377e-004 
8.500000000000003e-012 2.612833699400207e-005 2.734668228811940e-005 2.562198287367154e-004 2.473499724858789e-004 -3.147331525859573e-004 3.155188474140427e-004 2.472560433931215e-004 2.567226767223794e-004 
8.750000000000004e-012 6.094805665688318e-006 6.712889907466824e-006 2.554189164678069e-004 2.466582534531485e-004 -3.148027259254810e-004 3.154492740745190e-004 2.464736522695395e-004 2.557582479413696e-004 
9.000000000000005e-012 2.518162808749596e-005 2.544695072430888e-005 2.545523548908463e-004 2.458682747788055e-004 -3.148438825297351e-004 3.154081174702649e-004 2.457018737303125e-004 2.547822728773046e-004 
9.250000000000005e-012 5.151470641787677e-006 5.415853617048903e-006 2.536212424994073e-004 2.449934872664894e-004 -3.148603610350258e-004 3.153916389649742e-004 2.449411344047321e-004 2.538183530654574e-004 
9.500000000000006e-012 2.446116163931673e-005 2.486822928744666e-005 2.526451265409995e-004 2.440611641225393e-004 -3.148612768278398e-004 3.153907231721602e-004 2.441758538165188e-004 2.528805395997554e-004 
9.750000000000007e-012 4.771158136223053e-006 5.456480910294194e-006 2.516496285407903e-004 2.430964939874792e-004 -3.148579619077490e-004 3.153940380922510e-004 2.433751709207573e-004 2.519665756812970e-004 
1.000000000000001e-011 2.445774195050800e-005 2.532913371989904e-005 2.506551063045959e-004 2.421095988916960e-004 -3.148604992964370e-004 3.153915007035630e-004 2.424999273486013e-004 2.510591985493169e-004 
1.025000000000001e-011 5.135239586498812e-006 6.149749222494190e-006 2.496697164252719e-004 2.410904625264279e-004 -3.148750906228434e-004 3.153769093771566e-004 2.415130904661858e-004 2.501333122022041e-004 
1.050000000000001e-011 2.516505579143381e-005 2.614780906559024e-005 2.486878771560277e-004 2.400118295989632e-004 -3.149029892746455e-004 3.153490107253545e-004 2.403884627734001e-004 2.491647072576362e-004 
1.075000000000001e-011 6.167054241060782e-006 7.085258492799283e-006 2.476930683011191e-004 2.388368482792008e-004 -3.149411090247261e-004 3.153108909752739e-004 2.391136096594242e-004 2.481362292477736e-004 
1.100000000000001e-011 2.651754159818350e-005 2.726728954870004e-005 2.466627734125372e-004 2.375272344254133e-004 -3.149838387507704e-004 3.152681612492296e-004 2.376860625174139e-004 2.470392624676554e-004 
1.125000000000001e-011 7.853808084481890e-006 8.492351434002197e-006 2.455732879153308e-004 2.360486332429903e-004 -3.150252666337700e-004 3.152267333662300e-004 2.361049579761669e-004 2.458708336447030e-004 
1.150000000000001e-011 2.857034545824699e-005 2.906855946075509e-005 2.444028002833448e-004 2.343716842212887e-004 -3.150610241318612e-004 3.151909758681388e-004 2.343618050173564e-004 2.446283633548541e-004 
1.175000000000001e-011 1.032505261733386e-005 1.078195893804743e-005 2.431321363087832e-004 2.324690767095245e-004 -3.150892422827276e-004 3.151627577172724e-004 2.324336077039095e-004 2.433045217970283e-004 
