time NV31 NV44 XDUT_LP1_I XDUT_B1_I XDUT_L2_I XDUT_L3_I XDUT_B2_I XDUT_LP2_I
0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 
2.500000000000000e-013 2.966404155363582e-005 2.959437767520960e-005 1.696449408673453e-005 9.076132236775211e-006 -1.750676023071305e-005 1.750723976928695e-005 9.074315932801481e-006 1.696109917148070e-005 
5.000000000000000e-013 3.709447270032882e-005 3.692244946133355e-005 3.357965093672922e-005 2.997106125918196e-005 -3.501290866222710e-005 3.501509133777291e-005 2.995888489184079e-005 3.356673384678117e-005 
7.500000000000000e-013 6.307694111757296e-005 6.263194368014835e-005 4.950382156224719e-005 3.654553393604494e-005 -5.251700676843255e-005 5.252499323156745e-005 3.651018364066261e-005 4.946394825520108e-005 
1.000000000000000e-012 8.298902592465674e-005 8.210322218760695e-005 6.494625634451716e-005 4.139865568501964e-005 -7.001689996905834e-005 7.003910003094166e-005 4.131931903201707e-005 6.485163516156320e-005 
1.250000000000000e-012 9.210483714175387e-005 9.063737477445304e-005 8.034784004675818e-005 4.780628604116527e-005 -8.750966589104527e-005 8.756033410895472e-005 4.766027339864930e-005 8.016307604433456e-005 
1.500000000000000e-012 9.094728686977028e-005 8.886998406517557e-005 9.607579500916701e-005 5.833996576726273e-005 -1.049924245327200e-004 1.050915754672800e-004 5.811034410076925e-005 9.576644861680098e-005 
1.750000000000000e-012 8.389023965652025e-005 8.134752338279566e-005 1.122108108468075e-004 7.317635031759071e-005 -1.224636568116193e-004 1.226343431883806e-004 7.286001318372189e-005 1.117557841464491e-004 
2.000000000000000e-012 7.626970789481403e-005 7.357654495800166e-005 1.285344281927666e-004 9.058337925033628e-005 -1.399245436187310e-004 1.401874563812690e-004 9.019411715111915e-005 1.279366118133034e-004 
2.250000000000000e-012 7.194674550973188e-005 6.950996767154499e-005 1.446950279376027e-004 1.081980668015401e-004 -1.573796141330347e-004 1.577463858669653e-004 1.077614218248365e-004 1.439843082024870e-004 
2.500000000000000e-012 7.222556884181700e-005 7.040969662961337e-005 1.604234815040122e-004 1.242840603097589e-004 -1.748360607854125e-004 1.753039392145875e-004 1.238255638380803e-004 1.596491845312356e-004 
2.750000000000000e-012 7.617517465563083e-005 7.516536855187847e-005 1.756661647517742e-004 1.383489208837264e-004 -1.923016123058764e-004 1.928523876941236e-004 1.378817862140783e-004 1.748810568023951e-004 
3.000000000000000e-012 8.177783239521314e-005 8.150246773364936e-005 1.905760709635859e-004 1.509840523078960e-004 -2.097816586341004e-004 2.103863413658996e-004 1.505032103889459e-004 1.898184545284784e-004 
3.250000000000000e-012 8.715033507951152e-005 8.730342584167655e-005 2.053937357394535e-004 1.632205698115138e-004 -2.272769036591234e-004 2.279050963408765e-004 1.627065227753625e-004 2.046754970855414e-004 
